[2024-04-12 10:00:59] an account was just created with the login name "bomba"
[2024-04-12 10:14:29] an account was just created with the login name "bomba"
[2024-04-12 10:40:33] an account was just created with the login name "bomba"
[2024-04-12 10:42:49] an account was just created with the login name "bomba"
[2024-04-12 10:44:11] an account was just created with the login name "bomba"
[2024-04-12 12:25:36] an account was just created with the login name "bomba"
[2024-04-12 12:25:38] successfully sent a message to "lord1mispule@email.com", the message "Horize Account Created" "Your account has been created successfully"
[2024-04-12 12:26:32] an account could not created because of "Account already exists", the data sent "bomba:bum:Bombovník:lord1mispule@email.com"
[2024-04-12 12:27:17] an account could not created because of "Invalid email (must be a gmail account)", the data sent "bomba:bum:Bombovník:lord1mispule@email.com"
[2024-04-12 12:27:29] an account was just created with the login name "bomba"
[2024-04-12 12:28:04] an account was just created with the login name "bomba"
[2024-04-12 12:28:05] successfully sent a message to "lord1mispule@gmail.com", the message "Horize Account Created" "Your account has been created successfully"
[2024-04-12 13:56:15] an account was just created with the login name "bomba"
[2024-04-12 13:56:17] successfully sent a message to "lord1mispule@gmail.com", the message "Horize Account Created" "Your account has been created successfully"
[2024-04-12 14:45:30] an account was just created with the login "bomba"
[2024-04-12 14:45:31] successfully sent a message to "lord1mispule@gmail.com", the message "Horize Account Verification" "Your account was created successfully"
[2024-04-12 15:49:44] an account could not created because of "Invalid data (cannot contain |)", the data sent "bomba|bum|Bombovník|lord1mispule@gmail.com"
[2024-04-12 15:49:50] an account could not created because of "Gmail doesn't have a verification code", the data sent "bomba|bum|Bombovník|lord1mispule@gmail.com|000000"
[2024-04-12 15:50:47] successfully sent a message to "lord1mispule@gmail.com", the message "Horize Account Verification" "You have 3 minutes to verify your account, your verification code is: 074174"
[2024-04-12 15:51:07] an account was just created with the login "bomba"
[2024-04-12 15:54:58] successfully sent a message to "lord1mispule@gmail.com", the message "Horize Account Verification" "You have 3 minutes to verify your account, your verification code is: 527771"
[2024-04-12 15:55:05] an account could not created because of "Invalid gmail verification code", the data sent "bomba|bum|Bombovník|lord1mispule@gmail.com|074174"
[2024-04-12 15:58:10] an account could not created because of "Gmail verification code expired", the data sent "bomba|bum|Bombovník|lord1mispule@gmail.com|527771"
[2024-04-12 15:58:45] successfully sent a message to "lord1mispule@gmail.com", the message "Horize Account Verification" "You have 3 minutes to verify your account, your verification code is: 717041"
[2024-04-12 15:59:19] an account was just created with the login "bomba"
[2024-04-12 16:15:13] could not read the gmail code file "lord1mispule@gmail.com.json", the error "open ./save_data/gmail_codes/lord1mispule@gmail.com.json.json: Systém nemůže nalézt uvedený soubor."
[2024-04-12 16:15:13] could not read the gmail code file "lord1mispule@gmail.com.json", the error "open ./save_data/gmail_codes/lord1mispule@gmail.com.json.json: Systém nemůže nalézt uvedený soubor."
[2024-04-12 16:15:13] could not read the gmail code file "lord1mispule@gmail.com.json", the error "open ./save_data/gmail_codes/lord1mispule@gmail.com.json.json: Systém nemůže nalézt uvedený soubor."
[2024-04-12 16:15:13] could not read the gmail code file "lord1mispule@gmail.com.json", the error "open ./save_data/gmail_codes/lord1mispule@gmail.com.json.json: Systém nemůže nalézt uvedený soubor."
[2024-04-12 16:15:13] could not read the gmail code file "lord1mispule@gmail.com.json", the error "open ./save_data/gmail_codes/lord1mispule@gmail.com.json.json: Systém nemůže nalézt uvedený soubor."
[2024-04-12 16:15:13] could not read the gmail code file "lord1mispule@gmail.com.json", the error "open ./save_data/gmail_codes/lord1mispule@gmail.com.json.json: Systém nemůže nalézt uvedený soubor."
[2024-04-12 16:15:13] could not read the gmail code file "lord1mispule@gmail.com.json", the error "open ./save_data/gmail_codes/lord1mispule@gmail.com.json.json: Systém nemůže nalézt uvedený soubor."
[2024-04-12 16:15:13] could not read the gmail code file "lord1mispule@gmail.com.json", the error "open ./save_data/gmail_codes/lord1mispule@gmail.com.json.json: Systém nemůže nalézt uvedený soubor."
[2024-04-12 16:15:13] could not read the gmail code file "lord1mispule@gmail.com.json", the error "open ./save_data/gmail_codes/lord1mispule@gmail.com.json.json: Systém nemůže nalézt uvedený soubor."
[2024-04-12 16:15:13] could not read the gmail code file "lord1mispule@gmail.com.json", the error "open ./save_data/gmail_codes/lord1mispule@gmail.com.json.json: Systém nemůže nalézt uvedený soubor."
[2024-04-12 16:15:13] could not read the gmail code file "lord1mispule@gmail.com.json", the error "open ./save_data/gmail_codes/lord1mispule@gmail.com.json.json: Systém nemůže nalézt uvedený soubor."
[2024-04-12 16:15:13] could not read the gmail code file "lord1mispule@gmail.com.json", the error "open ./save_data/gmail_codes/lord1mispule@gmail.com.json.json: Systém nemůže nalézt uvedený soubor."
[2024-04-12 16:15:13] could not read the gmail code file "lord1mispule@gmail.com.json", the error "open ./save_data/gmail_codes/lord1mispule@gmail.com.json.json: Systém nemůže nalézt uvedený soubor."
[2024-04-12 16:15:13] could not read the gmail code file "lord1mispule@gmail.com.json", the error "open ./save_data/gmail_codes/lord1mispule@gmail.com.json.json: Systém nemůže nalézt uvedený soubor."
[2024-04-12 16:15:13] could not read the gmail code file "lord1mispule@gmail.com.json", the error "open ./save_data/gmail_codes/lord1mispule@gmail.com.json.json: Systém nemůže nalézt uvedený soubor."
